Ability_Code,Ability_name,Ability_range,Ability_retention,Condition_value,Increase_value_1,Increase_value_2,explain
101,날카로움,0,-1,0,10,10,유닛의 공격력 10% 증가
102,날카로움+,0,-1,0,15,15,유닛의 공격력 15% 증가
103,서릿발,0,2,0,15,,"타격한 유닛의 공격속도, 이동속도가 2초간 15% 감소"
104,한기,3,0,0,15,,주변 적 유닛의 공격 속도 15% 감소시키고 상대 유닛을 '빙결' 상태로 만듦
105,격려,3,0,0,10,,주변 아군 유닛의 공격속도 10%증가
106,선봉,0,-1,50,10,3,"체력이 50%미만이 되었을 때, 초당 10만큼의 도트힐을 3초동안 제공"
107,졸부,0,-1,0,30,,유닛의 생산 코스트 30% 감소
108,지혜,0,-1,0,20,,유닛의 생산 쿨타임 20%감소
109,생명,0,-1,0,20,,유닛의 생명력 20%증가
110,신속,0,-1,0,20,,유닛의 이동속도 20%증가
111,쇄약,0,2,0,20,20,"타격한 유닛의 공격속도, 이동속도 20% 감소"
112,불길,0,4,0,7,,타격한 유닛에게 4초 동안 초당 7만큼의 데미지
113,독약,0,8,0,4,,타격한 유닛에게 8초 동안 초당 4만큼의 데미지
114,개전,0,5,0,50,30,"생성되고 5초간 이동속도가 50%, 공격속도가 30% 증가"
115,원시,0,-1,0,2,,사거리 2 증가
116,광기,0,-1,0,5,30,"유닛의 체력이 1초당 5 감소, 공격속도 30% 증가"
117,사기진작,3,0,0,10,,주변 아군 유닛의 이동속도 10% 증가
118,흡혈,0,-1,0,8,,유닛이 가한 데미지의 8%를 흡혈
119,단말마,2,-1,0,100,,
120,돌파,0,-1,1,20,,"유닛이 '빙결'상태일 때, 이동속도 및 공격속도 20% 증가"
121,약탈,0,-1,0,5,,유닛이 상대 유닛을 처치할 시 코스트 5 만큼 획득
122,차가운 일격,0,-1,,30,,빙결 상태인 유닛을 공격할 때 추가 공격력 30%
123,뜨거운 일격,0,-1,,30,,화상 상태인 유닛을 공격할 때 추가 공격력 30%
124,비열한 일격,0,-1,,30,,중독 상태인 유닛을 공격할 때 추가 공격력 30%
125,은신,0,10,,,,"원거리 유닛 혹은 포탑을 우선 공격, 생성 후 최초 공격 전까지 공격 대상이 되지 않음"
126,피로,0,2,0,20,,타격한 유닛의 생산 코스트 20% 증가
127,파괴,0,5,0,50,,타격한 유닛의 방어력 50% 감소
128,관통,0,0,0,4,,해당 유닛의 방어 관통력 4 증가
129,철거,0,-1,0,50,,유닛의 포탑 대상 공격력 50% 증가
130,반격,0,-1,0,5,,1대 피격 시마다 공격한 유닛에게 5만큼의 고정 데미지
