머리,몸통,무기,무기,
102,202,301,601,
103,203,307,,
116,216,303,303,
107,207,310,,
114,214,801,,
108,208,503,,
스폰시간(초),유닛번호(0번부터),,,0이 위
2,1,0,,
2,2,1,,
3,5,0,,
5,1,1,,1가 아래
8,2,1,,
12,3,0,,
16,2,1,,
18,3,0,,
20,2,0,,
21,1,1,,
24,6,1,,
26,1,0,,
28,2,1,,
30,5,0,,
34,6,1,,
39,1,1,,
41,2,1,,
43,2,0,,
46,3,1,,
48,5,0,,
50,1,0,,
52,4,1,,
54,2,0,,
57,3,0,,
59,6,1,,
60,5,0,,
62,2,0,,
65,3,1,,
67,5,0,,
69,1,0,,
71,4,1,,
73,2,0,,
75,3,0,,
77,6,1,,
79,2,0,,
81,1,1,,
83,6,1,,
85,1,0,,
87,2,1,,
89,5,0,,
92,6,1,,
94,1,1,,
96,2,1,,
98,2,0,,
100,3,1,,
102,5,0,,
104,5,0,,
106,6,1,,
108,5,0,,
110,6,1,,
112,1,1,,
114,2,1,,
116,2,0,,
118,3,1,,
121,5,0,,
123,1,0,,
125,4,1,,
127,2,0,,
129,3,0,,
131,6,1,,
133,5,0,,
135,2,0,,
137,3,1,,
140,5,0,,
142,1,0,,
145,4,1,,
146,2,0,,
148,3,0,,
150,6,1,,
152,2,0,,
154,1,1,,
156,6,1,,
159,1,0,,
161,2,1,,
163,5,0,,
165,6,1,,
167,1,1,,
169,2,1,,
171,5,0,,
173,6,1,,
175,1,1,,
177,2,1,,
180,2,0,,
182,3,1,,
184,5,0,,
186,1,0,,
188,4,1,,
180,2,0,,
192,3,0,,
194,6,1,,
196,5,0,,
199,2,0,,
201,3,1,,
203,5,0,,
205,1,0,,
208,4,1,,
210,2,0,,
213,3,0,,
215,6,1,,
218,2,0,,
220,1,1,,
223,6,1,,
225,1,0,,
228,2,1,,
230,5,0,,
233,6,1,,
235,1,1,,
238,2,1,,
